Time,Price,Volume
4/5/2014 12:00:00 AM,0.000478770677,473934
4/6/2014 12:00:00 AM,0.000465309828,701008
4/7/2014 12:00:00 AM,0.000459803,781320
4/8/2014 12:00:00 AM,0.000454968438,667073
4/9/2014 12:00:00 AM,0.000435796317,440661
4/10/2014 12:00:00 AM,0.00032475663,862264
4/11/2014 12:00:00 AM,0.000428457426,1096790
4/12/2014 12:00:00 AM,0.0004122468,503227
4/13/2014 12:00:00 AM,0.000377604045,512104
4/14/2014 12:00:00 AM,0.000443904786,1416560
4/15/2014 12:00:00 AM,0.000577336863,2503670
4/16/2014 12:00:00 AM,0.000703786125,6425170
4/17/2014 12:00:00 AM,0.000622944,3792830
4/18/2014 12:00:00 AM,0.000588224376,1511350
4/19/2014 12:00:00 AM,0.000636970405,1622690
4/20/2014 12:00:00 AM,0.000621647125,1089990
4/21/2014 12:00:00 AM,0.000605988159,1021950
4/22/2014 12:00:00 AM,0.000572126894,301520.97581491
4/23/2014 12:00:00 AM,0.000565529,382004.415828093
4/24/2014 12:00:00 AM,0.000568414295,457138.682520946
4/25/2014 12:00:00 AM,0.000500099303,1530049.6170221
4/26/2014 12:00:00 AM,0.000471952,461904.295118878
4/27/2014 12:00:00 AM,0.000446680032,379467.391967386
4/28/2014 12:00:00 AM,0.0004718736,909066.663703818
4/29/2014 12:00:00 AM,0.0004920297,689680.711023146
4/30/2014 12:00:00 AM,0.000502846384,584361.865644087
5/1/2014 12:00:00 AM,0.000509702256,250601.955047895
5/2/2014 12:00:00 AM,0.000483386006,260767.761799722
5/3/2014 12:00:00 AM,0.000455734965,242558.580777302
5/4/2014 12:00:00 AM,0.000472998088,278299.458786967
5/5/2014 12:00:00 AM,0.000454820666,267164.900394875
5/6/2014 12:00:00 AM,0.00044810157,366207.103840021
5/7/2014 12:00:00 AM,0.000470051,320111.216534869
5/8/2014 12:00:00 AM,0.000463605098,244134.365633127
5/9/2014 12:00:00 AM,0.000483292764,338134.609387827
5/10/2014 12:00:00 AM,0.00048418035,249835.760591459
5/11/2014 12:00:00 AM,0.000453734632,206683.931850645
5/12/2014 12:00:00 AM,0.0004479738,270484.63705675
5/13/2014 12:00:00 AM,0.00045042415,197555.781247738
5/14/2014 12:00:00 AM,0.000453131634,235677.487788151
5/15/2014 12:00:00 AM,0.00044425,321964.643328492
5/16/2014 12:00:00 AM,0.000445165,281078.494002986
5/17/2014 12:00:00 AM,0.0004458533,137637.597257138
5/18/2014 12:00:00 AM,0.000439771167,181465.135558344
5/19/2014 12:00:00 AM,0.00044387,194345.635064689
5/20/2014 12:00:00 AM,0.000459245865,330817.428787572
5/21/2014 12:00:00 AM,0.000454557681,352556.689563556
5/22/2014 12:00:00 AM,0.000428538806,647432.555407841
5/23/2014 12:00:00 AM,0.00041433525,579951.438802194
5/24/2014 12:00:00 AM,0.000428948806,293324.400539169
5/25/2014 12:00:00 AM,0.000415644991,604761.786019568
5/26/2014 12:00:00 AM,0.000394142756,388456.336790405
5/27/2014 12:00:00 AM,0.000387243,305845.048946264
5/28/2014 12:00:00 AM,0.000388656244,236380.433898132
5/29/2014 12:00:00 AM,0.0003900294,166719.157755499
5/30/2014 12:00:00 AM,0.000347842152,516748.702518065
5/31/2014 12:00:00 AM,0.00033507,357018.862157783
6/1/2014 12:00:00 AM,0.000416105105,796888.779069001
6/2/2014 12:00:00 AM,0.000393846,400827.728220516
6/3/2014 12:00:00 AM,0.000387073614,318497.344769825
6/4/2014 12:00:00 AM,0.000365474481,284503.58488843
6/5/2014 12:00:00 AM,0.000361955,226241.293954969
6/6/2014 12:00:00 AM,0.0003632328,219138.741589184
6/7/2014 12:00:00 AM,0.000358439565,170187.798320124
6/8/2014 12:00:00 AM,0.000363943048,143386.704217122
6/9/2014 12:00:00 AM,0.0003605868,169154.208833106
6/10/2014 12:00:00 AM,0.000382943453,256310.828579334
6/11/2014 12:00:00 AM,0.000415824222,596746.156266394
6/12/2014 12:00:00 AM,0.000362992,371718.141610381
6/13/2014 12:00:00 AM,0.000374650479,209232.925898911
6/14/2014 12:00:00 AM,0.000359102079,152848.585586284
6/15/2014 12:00:00 AM,0.0003675483,139572.228031972
6/16/2014 12:00:00 AM,0.0003495868,230593.126330042
6/17/2014 12:00:00 AM,0.000358223397,93801.6185776791
6/18/2014 12:00:00 AM,0.0003504302,121916.225613303
6/19/2014 12:00:00 AM,0.000350209745579974,176623.784454099
6/20/2014 12:00:00 AM,0.000347274623199668,153990.785980924
6/21/2014 12:00:00 AM,0.000339788412144292,141662.332631366
6/22/2014 12:00:00 AM,0.000333036145296511,190192.170183928
6/23/2014 12:00:00 AM,0.000326143679650133,413141.792769934
6/24/2014 12:00:00 AM,0.000307224969527074,337499.240552967
6/25/2014 12:00:00 AM,0.000260087594226448,440148.507721942
6/26/2014 12:00:00 AM,0.000294970165055911,260341.251310441
6/27/2014 12:00:00 AM,0.00029024603506793,197491.241720686
6/28/2014 12:00:00 AM,0.000271730277248175,172882.8729158
6/29/2014 12:00:00 AM,0.000264510908720795,167112.001062038
6/30/2014 12:00:00 AM,0.00026577530593942,227941.483613647
7/1/2014 12:00:00 AM,0.000258584716559102,281008.07527398
7/2/2014 12:00:00 AM,0.000221218151563659,308134.768052648
7/3/2014 12:00:00 AM,0.000215467335371973,217146.336521735
7/4/2014 12:00:00 AM,0.00023128565840245,225473.828133641
7/5/2014 12:00:00 AM,0.000220970243355153,146895.739503188
7/6/2014 12:00:00 AM,0.000232327820765926,165087.156356125
